"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 15, 2021","170.95","171.43","172.86","168.19","132.02K","1.13%"
"Sep 14, 2021","169.05","175.71","176.19","166.67","232.12K","-1.28%"
"Sep 13, 2021","171.24","174.19","176.19","170.00","150.07K","-0.50%"
"Sep 12, 2021","172.10","183.33","188.29","169.52","300.71K","-5.09%"
"Sep 09, 2021","181.33","170.48","185.71","170.48","559.57K","6.55%"
"Sep 08, 2021","170.19","167.43","171.43","162.95","264.57K","2.70%"
"Sep 07, 2021","165.71","167.62","170.48","162.86","319.92K","-0.91%"
"Sep 06, 2021","167.24","162.57","169.43","161.90","313.07K","3.11%"
"Sep 05, 2021","162.19","162.76","164.19","160.38","176.34K","0.89%"
"Sep 02, 2021","160.76","162.76","164.76","159.33","210.64K","-0.30%"
"Sep 01, 2021","161.24","164.67","165.52","160.00","131.75K","-2.08%"
"Aug 31, 2021","164.67","156.19","165.71","156.19","320.85K","5.36%"
"Aug 29, 2021","156.29","154.29","158.38","153.43","192.70K","1.17%"
"Aug 26, 2021","154.48","154.29","155.24","151.52","74.19K","-0.06%"
"Aug 25, 2021","154.57","160.00","160.00","154.00","73.87K","-0.55%"
"Aug 24, 2021","155.43","158.10","158.10","154.29","78.74K","-1.33%"
"Aug 23, 2021","157.52","161.81","161.81","157.14","38.82K","-1.84%"
"Aug 22, 2021","160.48","152.38","165.71","152.38","276.78K","6.31%"
"Aug 19, 2021","150.95","151.43","153.33","150.10","9.74K","-0.13%"
"Aug 18, 2021","151.14","150.19","152.00","150.00","12.16K","0.57%"
"Aug 17, 2021","150.29","149.62","151.43","149.33","15.20K","0.64%"
"Aug 16, 2021","149.33","148.76","152.38","148.57","29.55K","-1.45%"
"Aug 12, 2021","151.52","153.33","153.71","150.95","30.67K","-0.81%"
"Aug 11, 2021","152.76","154.29","154.29","152.00","35.32K","-0.80%"
"Aug 10, 2021","154.00","155.52","157.14","153.71","62.28K","-0.25%"
"Aug 09, 2021","154.38","154.29","157.14","152.38","84.45K","0.50%"
"Aug 05, 2021","153.62","155.81","156.10","152.48","75.03K","-0.92%"
"Aug 03, 2021","155.05","154.67","156.19","150.67","35.60K","-0.31%"
"Aug 02, 2021","155.52","149.90","160.95","146.10","115.35K","5.97%"
"Jul 29, 2021","146.76","148.76","150.00","145.33","66.34K","-1.41%"
"Jul 28, 2021","148.86","149.52","150.19","146.19","17.74K","0.19%"
"Jul 27, 2021","148.57","152.00","152.00","144.76","12.89K","-1.02%"
"Jul 26, 2021","150.10","149.90","152.38","149.62","25.44K","0.25%"
"Jul 25, 2021","149.71","155.24","155.24","149.52","15.54K","-0.69%"
"Jul 19, 2021","150.76","156.95","156.95","150.48","27.14K","-0.57%"
"Jul 18, 2021","151.62","149.52","153.81","149.52","75.44K","0.06%"
"Jul 15, 2021","151.52","149.52","155.43","149.52","53.78K","-0.81%"
"Jul 14, 2021","152.76","157.14","157.14","151.24","77.87K","-1.47%"
"Jul 13, 2021","155.05","156.19","161.71","152.38","75.61K","1.24%"
"Jul 12, 2021","153.14","144.38","154.48","140.95","111.68K","8.94%"
"Jul 08, 2021","140.57","137.43","141.33","137.43","46.78K","2.43%"
"Jul 07, 2021","137.24","140.67","140.67","135.71","25.98K","0.35%"
"Jul 06, 2021","136.76","141.90","141.90","136.29","26.91K","-1.91%"
"Jul 05, 2021","139.43","142.76","143.52","138.38","21.95K","-5.92%"
"Jul 04, 2021","148.20","148.20","150.00","144.20","60.70K","5.00%"
"Jun 30, 2021","141.14","138.19","142.86","137.33","63.73K","1.09%"
"Jun 29, 2021","139.62","138.48","140.00","137.71","49.79K","0.83%"
"Jun 28, 2021","138.48","135.24","140.00","135.24","32.59K","2.39%"
"Jun 27, 2021","135.24","135.81","136.00","133.33","43.34K","-1.46%"
"Jun 24, 2021","137.24","140.95","140.95","137.05","53.41K","-0.21%"
"Jun 23, 2021","137.52","135.62","139.81","135.62","105.99K","1.48%"
"Jun 22, 2021","135.52","136.29","138.00","134.95","58.96K","-0.56%"
"Jun 21, 2021","136.29","135.90","138.10","134.48","67.95K","0.28%"
"Jun 20, 2021","135.90","136.29","136.95","133.52","51.46K","-0.21%"
"Jun 17, 2021","136.19","133.81","139.52","133.81","156.21K","-1.38%"
"Jun 16, 2021","138.10","135.24","140.86","134.29","107.46K","1.54%"
"Jun 15, 2021","136.00","137.52","139.90","134.95","74.52K","-1.11%"
"Jun 14, 2021","137.52","133.62","139.52","132.67","286.40K","3.74%"
"Jun 13, 2021","132.57","130.57","138.10","130.48","159.67K","-0.50%"
"Jun 10, 2021","133.24","128.67","138.10","128.57","98.00K","3.78%"
"Jun 09, 2021","128.38","131.43","131.43","126.38","88.40K","-0.81%"
"Jun 08, 2021","129.43","127.24","130.38","126.86","70.91K","-1.52%"
"Jun 07, 2021","131.43","123.71","135.90","122.86","301.98K","6.24%"
"Jun 06, 2021","123.71","122.86","125.62","119.05","109.19K","2.77%"
"Jun 03, 2021","120.38","119.24","121.43","117.81","39.65K","0.80%"
"Jun 02, 2021","119.43","121.90","121.90","118.67","53.66K","-1.49%"
"Jun 01, 2021","121.24","125.71","125.71","120.29","48.05K","-0.08%"
"May 31, 2021","121.33","118.10","123.81","118.10","84.96K","2.91%"
"May 30, 2021","117.90","124.95","124.95","116.38","86.83K","-2.60%"
"May 27, 2021","121.05","132.29","132.29","120.19","80.96K","-3.35%"
"May 25, 2021","125.24","125.24","125.24","120.00","385.45K","9.95%"
"May 24, 2021","113.90","115.71","115.71","113.33","25.10K","-0.91%"
"May 23, 2021","114.95","112.95","115.71","111.62","20.26K","1.77%"
"May 20, 2021","112.95","116.10","116.10","112.38","25.32K","-2.23%"
"May 19, 2021","115.52","118.76","118.76","115.24","20.33K","-2.73%"
"May 18, 2021","118.76","113.52","119.05","112.76","57.83K","3.23%"
"May 17, 2021","115.05","115.14","117.14","114.29","25.00K","0.25%"
